	TCGA.BF.A1PX	TCGA.EB.A431	TCGA.EB.A44N	TCGA.EB.A51B	TCGA.FS.A1ZE	TCGA.D9.A6EC	TCGA.FS.A1Z0	TCGA.BF.AAP6	TCGA.BF.AAP8	TCGA.EB.A1NK	TCGA.EB.A3HV	TCGA.EB.A4XL	TCGA.EB.A6R0	TCGA.FR.A728	TCGA.FS.A1ZA	TCGA.FS.A1ZN	TCGA.GF.A769	TCGA.D3.A8GK	TCGA.DA.A1I5	TCGA.DA.A1IA	TCGA.ER.A2ND	TCGA.FS.A1YY	TCGA.GN.A4U3	TCGA.YD.A89C
KLHDC8B|200942	4840	3444	1245	3732	3534	2139	4600	3632	4974	6540	2423	2661	1252	4364	1247	1777	2734	1190	2643	5073	1140	1756	2783	5067
KLHL4|56062	7	315	3	39	72	2	47	3	8	4	2	13	3	37	11	8	1	1	5	0	38	30	1	7
LANCL3|347404	20	7	3	2	14	6	11	1	2	6	21	5	6	10	2	8	1	14	6	0	15	5	3	0
LBR|3930	1780	1519	1035	2341	1574	1130	7554	5664	785	805	625	801	2580	1131	6231	2094	3470	2094	4744	553	742	803	1878	1329
LOC283174|283174	122	6	51	4	767	5	11	60	44	19	126	50	12	23	584	14	386	14	19	82	118	495	67	121
LOC284798|284798	0	1	0	4	0	23	0	22	0	0	1	1	4	0	0	0	0	1	0	0	0	0	0	1
MBIP|51562	641	1281	614	708	1126	1105	1354	873	742	564	399	1182	1249	542	717	1495	1109	526	505	223	738	1118	995	812
MCCD1|401250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIMT1|100073347	0	2	0	27	54	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLEC|9761	27525	24289	13613	19788	26548	16083	21289	32219	12300	39911	13556	14034	43181	24573	19312	34250	17553	17045	13518	26748	12549	40901	5932	13348
MTSS1L|92154	4508	2164	3436	6750	10027	4838	8198	5482	20941	5981	7458	8290	5159	4863	5889	10291	4956	5110	2867	13180	2651	9635	4388	9811
MUTED|63915	945	1285	593	642	2029.75	840	2533	1117	546	759	456	593	948	456	1898	2214	1470	406	799	283	682	1052	1425	1515
NBPF14|25832	528.22	368.14	781.58	1136.3	1297.45	291.66	749.28	1178.69	366.7	423	503.95	1078.99	1761.22	922.29	574.63	1165.36	455.69	609.15	311.16	168.01	582.33	1555.3	1293.1	468.43
NCF4|4689	2010	171	469	182	95	130	699	216	635	618	672	386	383	1010	453	132	188	44	948	141	382	243	300	166
OR2M5|127059	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OR4A47|403253	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
P2RY13|53829	318	32	101	51	42	13	308	21	126	65	77	134	62	268	151	23	25	7	244	7	148	26	28	15
P4HA2|8974	2722	2208	1479	3213	2864	2639	1030	3123	1108	9950	4294	1593	1639	5148	10097	1852	9518	2943	1869	3211	4422	5022	3370	1430
PACSIN1|29993	95	17	70	32	38	41	41	15	108	67	10	54	39	61	19	4	130	3	56	15	8	2	57	4
PADI6|353238	1	2	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	2	18	7	0	0	0
PAGE5|90737	0	0	0	0	0	3	0	499	0	0	3	4	10320	219	0	0	4410	1	2519	0	2	0	1	6
PAK4|10298	5190	3891	2647	3394	3997	7372	2928	8754	2558	4569	5542	2645	3158	2871	3404	3733	3767	4693	3266	8232	10102	7201	3600	3086
PAOX|196743	391	179	152	39	199	208	187	153	59	741	267	181	97	332	401	82	215	55	259	110	95	88	120	52
PAPPA2|60676	0	31	0	1	3	0	0	2	0	0	3	1	4	67	4	1	1	1	1	0	0	0	0	0
PCDH15|65217	0	3	1	374	44	0	32	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	1	131
PCDHB16|57717	37	92	492	621	70	36	734	106	62	156	433	426	1515	1903	382	1317	314	14	115	201	76	649	4	313
PEG3|5178	18	183	27	10104.98	6438.78	4.19	6255.11	8	10.41	47.41	39	36.18	4	74.86	20.78	15	23.62	1	23	0	20	75.89	14.54	0
PEX5|5830	2391	2815	1641	3385	4819	4261	1779	3345	866	3924	3424	3464	4101	1481	2699	3275	1863	2757	2254	4268	1868	5574	3157	1948
PKDCC|91461	163	22	184	20	1994	141	799	37	685	178	57	190	77	292	541	74	86	148	343	85	4186	480	102	7866
PLA2G2F|64600	34	0	667	16	0	0	0	0	0	79	216	200	1	0	0	164	0	0	0	0	0	3	0	0
PLAA|9373	1664	868	1063	1345	2414	3175	3308	2949	1639	2598	993	848	3555.97	1981	3284	2930.95	2395	1178	675	885	1332	2666	1096	2005
PLAUR|5329	2251	802	887	2219	234	4979	1020	2928	283	4062	3757	572	914	2601	1373	1218	3255	891	6689	1008	1271	1672	2323	923
PLCL2|23228	265	145	136	46	128	1948	499	496	103	434	84	150	1207	183	450	64	813	565	688	153	114	161	337	104
PLEK2|26499	662	115	434	150	167	457	178	493	588	655	260	393	305	284	29	629	370	1149	195	222	110	169	359	14
PLIN1|5346	0	5	5	2	254	6	12	1	8	12	6	10	4	3	69	22	19	1	10	0	23	348	23	56
PLIN3|10226	7170	2071	4072	5425	3415	7605	3461	6009	1506	10288	8012	3191	2866	6546	9439	7846	6070	3731	5020	5984	2886	7225	3194	3406
